name,affiliation
Keith Edwards,University of Dundee
Keith S. Decker,University of Delaware
Keith Soo,University of Waikato
Keith W. Ross,NYU Shanghai
Keith Winstein,Stanford University
Kejun Zhang,Zhejiang University
Kelin Kuhn,Oregon State University
Kelly A. Lyons,University of Toronto
Kelly Androutsopoulos,Middlesex University
Kelly Caine,Clemson University
Kelly Lyons,University of Toronto
Kelly Rosa Braghetto,USP
Kemafor Anyanwu-Ogan,North Carolina State University
Kemafor Ogan,North Carolina State University
Kemal Oflazer,Carnegie Mellon University
Kemao Qian,Nanyang Technological University
Ken Baclawski,Northeastern University
Ken Barker,University of Calgary
Ken Birman,Cornell University
Ken Friis Larsen,University of Copenhagen
Ken Goldberg,University of California - Berkeley
Ken Koedinger,Carnegie Mellon University
Ken Mercer,Massey University
Ken Perlin,New York University
Ken S. Stevens,University of Utah
Ken Umeno,Kyoto University
Ken Wing-Kin Sung,National University of Singapore
Ken Wong 0001,University of Alberta
Kendra Cooper,University of Texas at Dallas
Kendra M. L. Cooper,University of Texas at Dallas
Kenichiro Tanaka,University of Tokyo
Kenji Kashima,Kyoto University
Kenji Yamanishi,University of Tokyo
Kenjiro Taura,University of Tokyo
Kenneth A. De Jong,George Mason University
Kenneth A. Ross,Columbia University
Kenneth Alan Stafford,Worcester Polytechnic Institute
Kenneth B. Kent,University of New Brunswick
Kenneth Baclawski,Northeastern University
Kenneth Chiu,Binghamton University
Kenneth Christensen,University of South Florida
Kenneth D. Forbus,Northwestern University
Kenneth Demarest,University of Kansas
Kenneth F. Galloway,Vanderbilt University
Kenneth Fletcher,University of Massachusetts Boston
Kenneth Heafield,University of Edinburgh
Kenneth J. Rodham,Brigham Young University
Kenneth J. Supowit,Ohio State University
Kenneth L. Calvert,University of Kentucky
Kenneth M. Anderson,University of Colorado Boulder
Kenneth Mark Anderson,University of Colorado Boulder
Kenneth P. Birman,Cornell University
Kenneth R. Jackson,University of Toronto
Kenneth R. Koedinger,Carnegie Mellon University
Kenneth S. Stevens,University of Utah
Kenneth Salem,University of Waterloo
Kenneth Salisbury,Stanford University
Kenneth W. Regan,University at Buffalo
Kenneth Wai-Ting Leung,HKUST
Kenneth Wingate Regan,University at Buffalo
Kenneth Y. Goldberg,University of California - Berkeley
Kenny Erleben,University of Copenhagen
Kenny Q. Zhu,Shanghai Jiao Tong University
Kenny Qili Zhu,Shanghai Jiao Tong University
Kenny Wong,University of Alberta
Kensuke Aishima,University of Tokyo
Kent E. Seamons,Brigham Young University
Kenta Nakai,University of Tokyo
Kentaro Shimizu,University of Tokyo
Keon Jang,Max Planck Institute
Keren Censor,Technion
Keren Censor-Hillel,Technion
Kerri Morgan,Monash University
Kerstin Bach,Norwegian University of Science and Technology
Kerstin Eder,University of Bristol
Keshav Pingali,University of Texas at Austin
Ketan D. Mulmuley,University of Chicago
Ketan Mayer-Patel,University of North Carolina
Ketan Mulmuley,University of Chicago
Ketan Patel,University of North Carolina
Keting Jia,Tsinghua University
Keval Vora,Simon Fraser University
Kevin B. Korb,Monash University
Kevin Bierre,Rochester Institute of Technology
Kevin Bryson,University College London
Kevin Buchin,TU Eindhoven
Kevin C. Almeroth,University of California - Santa Barbara
Kevin Chen-Chuan Chang,Univ. of Illinois at Urbana-Champaign
Kevin D. Seppi,Brigham Young University
Kevin Elphinstone,UNSW
Kevin Fu,University of Michigan
Kevin Gimpel,TTI Chicago
Kevin J. Compton,University of Michigan
Kevin Jeffay,University of North Carolina
Kevin K. Y. Kuan,University of Sydney
Kevin Leyton-Brown,University of British Columbia
Kevin Liu,Michigan State University
Kevin R. B. Butler,University of Florida
Kevin Schneider,University of Saskatchewan
Kevin Skadron,University of Virginia
Kevin Stanley,University of Saskatchewan
Kevin Sullivan,University of Virginia
Kevin Tomsovic,University of Tennessee
Kevin Verbeek,TU Eindhoven
Kevin W. Bowyer,University of Notre Dame
Kevin W. Hamlen,University of Texas at Dallas
Kevin Y. Yip,Chinese University of Hong Kong
Kevyn Collins-Thompson,University of Michigan
Key-Sun Choi,KAIST
Khai N. Truong,University of Toronto
Khair Eddin Sabri,University of Jordan
Khaled B. Shaban,Qatar University
Khaled Bashir Shaban,Qatar University
Khaled Harfoush,North Carolina State University
Khaled Khan,Qatar University
Khaled M. Elbassioni,Masdar Institute
Khaled M. Khan,Qatar University
Khaled Md. Khan,Qatar University
Khaled Rasheed,University of Georgia
Khaled Shaban,Qatar University
Khalid A. Qaraqe,Texas A&M at Qatar
Khalid Alsubhi,King Abdulaziz University
Khurram Aziz,Dalhousie University
Khuzaima Daudjee,University of Waterloo
Kian Hsiang Low,National University of Singapore
Kian-Lee Tan,National University of Singapore
Kien A. Hua,University of Central Florida
Kiev Gama,UFPE
Kiev Santos da Gama,UFPE
Kihong Park,Purdue University
Kilian Q. Weinberger,Cornell University
Kim Binsted,University of Hawaii at Manoa
Kim Marriott,Monash University
Kim Steenstrup Pedersen,University of Copenhagen
Kimmo Kaski,Aalto University
Kimon Fountoulakis,University of Waterloo
Kin Hong Wong,Chinese University of Hong Kong
Kin K. Leung,Imperial College London
Kin-hong Wong,Chinese University of Hong Kong
Kiona Ogle,Northern Arizona University
Kiriakos N. Kutulakos,University of Toronto
Kirill Levchenko,Univ. of Illinois at Urbana-Champaign
Kirill Morozov,University of North Texas
Kirk Pruhs,University of Pittsburgh
Kirk W. Cameron,Virginia Tech
Kiron K. Skinner,Carnegie Mellon University
Kirsten Cater,University of Bristol
Kirsten Ellis,Monash University
Kirsten F. Cater,University of Bristol
Kirstie Hawkey,Dalhousie University
Kirstin Peterson,Cornell University
Kishore Kothapalli,IIIT Hyderabad
Kishore Prahallad,IIIT Hyderabad
Kitiporn Plaimas,Chulalongkorn University
Kitty Meeks,University of Glasgow
Kiyoharu Aizawa,University of Tokyo
Kiyoung Choi,Seoul National University
Kjetil Nørvåg,Norwegian University of Science and Technology
Klara Nahrstedt,Univ. of Illinois at Urbana-Champaign
Klas Nilsson,Lund University
Klaus Diller,University of Koblenz-Landau
Klaus Hildebrandt,TU Delft
Klaus Kabitzsch,TU Dresden
Klaus Marius Hansen,University of Copenhagen
Klaus Meißner,TU Dresden
Klaus Mueller,Stony Brook University
Klaus Obermayer,TU Berlin
Klaus Weber,Australian National University
Klaus Wehrle,RWTH Aachen
Klaus-Robert Müller,TU Berlin
Knud Henriksen,University of Copenhagen
Ko Nishino,Kyoto University
Kobbi Nissim,Georgetown University
Kobi Gal,Ben-Gurion University of the Negev
Kobus Barnard,University of Arizona
Koby Crammer,Technion
Koen Langendoen,TU Delft
Koen V. Hindriks,TU Delft
Kohei Suenaga,Kyoto University
Koiti Hasida,University of Tokyo
Kok-Ming Leung,New York University
Kolin Paul,IIT Delhi
Konrad Iwanicki,University of Warsaw
Konrad Rieck,TU Braunschweig
Konstantin Korovin,University of Manchester
Konstantin Makarychev,Northwestern University
Konstantinos Daniilidis,University of Pennsylvania
Konstantinos Daskalakis,Massachusetts Institute of Technology
Konstantinos G. Derpanis,Ryerson University
Konstantinos Karydis,University of California - Riverside
Konstantinos P. Michmizos,Rutgers University
Korin Richmond,University of Edinburgh
Korlakai Vinayak Rashmi,Carnegie Mellon University
Kostadin Damevski,Virginia Commonwealth University
Kostantinos Kalpakis,Univ. of Maryland - Baltimore County
Kostas Alexis,University of Nevada
Kostas Daniilidis,University of Pennsylvania
Kostas E. Bekris,Rutgers University
Kostas Kontogiannis,Western University
Kostis P. Michmizos,Rutgers University
Kotagiri Ramamohanarao,University of Melbourne
Kotaro Hara,Singapore Management University
Kotaro Kataoka,IIT Hyderabad
Kourosh Neshatian,University of Canterbury
Kousha Etessami,University of Edinburgh
Koushik Sen,University of California - Berkeley
Kris Bubendorfer,Victoria University of Wellington
Kris De Brabanter,Iowa State University
Kris Hauser,Duke University
Kris K. Hauser,Duke University
Kris Pister,University of California - Berkeley
Krishna K. Venkatasubramanian,Worcester Polytechnic Institute
Krishna Kant,Temple University
Krishna Kumar Venkatasubramanian,Worcester Polytechnic Institute
Krishna M. Kavi,University of North Texas
Krishna M. Sivalingam,IIT Madras
Krishna P. Gummadi,Max Planck Institute
Krishna P. Miyapuram,IIT Gandhinagar
Krishna R. Narayanan,Texas A&M University
Krishna V. Palem,Rice University
Krishnamoorthy Sivakumar,Washington State University
Krishnan Prasad,IIIT Hyderabad
Krishnendu Chatterjee,IST Austria
Kristen Grauman,University of Texas at Austin
Kristen Shinohara,Rochester Institute of Technology
Kristen Walcott-Justice,Univ. of Colorado Colorado Springs
Kristian J. Hammond,Northwestern University
Kristian Kersting,TU Darmstadt
Kristian M. Müller,Bielefeld University
Kristin J. Dana,Rutgers University
Kristof Van Laerhoven,University of Freiburg
Kristofer S. J. Pister,University of California - Berkeley
Kristoffer Arnsfelt Hansen,Aarhus University
Kristy Elizabeth Boyer,North Carolina State University
Krithi Ramamritham,IIT Bombay
Krothapalli S. Rao,IIT Kharagpur
Krothapalli Sreenivasa Rao,IIT Kharagpur
Krste Asanovic,University of California - Berkeley
Krung Sinapiromsaran,Chulalongkorn University
Krys J. Kochut,University of Georgia
Krys Kochut,University of Georgia
Krysia Broda,Imperial College London
Krzysztof Czarnecki,University of Waterloo
Krzysztof Diks,University of Warsaw
Krzysztof Gajos,Harvard University
Krzysztof J. Cios,Virginia Commonwealth University
Krzysztof Kuchcinski,Lund University
Krzysztof Lorys,University of Wroclaw
Krzysztof Pawlikowski,University of Canterbury
Krzysztof Pietrzak,IST Austria
Krzysztof R. Apt,University of Warsaw
Krzysztof Rzadca,University of Warsaw
Krzysztof Stencel,University of Warsaw
Krzysztof Z. Gajos,Harvard University
Kuanquan Wang,Harbin Institute of Technology
Kudakwashe Dube,Massey University
Kui Ren 0001,University at Buffalo
Kui Wu 0001,University of Victoria
Kuk-Jin Yoon,KAIST
Kuldeep Kumar,BITS Pilani
Kuldeep S. Meel,National University of Singapore
Kuldeep Singh Meel,National University of Singapore
Kumiko Tanaka,University of Tokyo
Kumiko Tanaka-Ishii,University of Tokyo
Kun Cai,Australian National University
Kun Xu,Tsinghua University
Kun Zhang,Carnegie Mellon University
Kun Zhou,Zhejiang University
Kun-Mao Chao,National Taiwan University
Kun-Pyo Lee,KAIST
Kunal Agrawal,Washington University in St. Louis
Kung-Kiu Lau,University of Manchester
Kunihiko Sadakane,University of Tokyo
Kunle Olukotun,Stanford University
Kunqing Xie,Peking University
Kunsoo Park,Seoul National University
Kurt Driessens,Maastricht University
Kurt E. Oughstun,University of Vermont
Kurt Jensen,Aarhus University
Kurt Keutzer,University of California - Berkeley
Kurt Luther,Virginia Tech
Kurt Mehlhorn,Max Planck Institute
Kurt Rohloff,NJIT
Kurt Rothermel,University of Stuttgart
Kurt VanLehn,Arizona State University
Kwan-Liu Ma,University of California - Davis
Kwang In Kim,University of Bath
Kwang Moo Yi,University of Victoria
Kwang-Ting (Tim) Cheng,HKUST
Kwang-Ting Cheng,HKUST
Kwangjo Kim,KAIST
Kwangkeun Yi,Seoul National University
Kwanguk Kim,Hanyang University
Kwang­Moo Choe,KAIST
Kwok-Wai Cheung,Hong Kong Baptist University
Kwok-Yan Lam,Nanyang Technological University
Kwong-Sak Leung,Chinese University of Hong Kong
Kyla A. McMullen,University of Florida
Kyle C. Hale,Illinois Institute of Technology
Kyle Fox,University of Texas at Dallas
Kyle Jamieson,Princeton University
Kyle Winfree,Northern Arizona University
Kylie Catchpole,Australian National University
Kyo Chul Kang,POSTECH
Kyogu Lee,Seoul National University
Kyomin Jung,Seoul National University
Kyoung Mu Lee,Seoul National University
Kyoung-Don Kang,Binghamton University
KyoungSoo Park,KAIST
Kyriakos Mouratidis,Singapore Management University
Kyros Kutulakos,University of Toronto
Kyu Hyung Lee,University of Georgia
Kyu-Young Whang,KAIST
Kyunghan Lee,UNIST
Kyungim Baek,University of Hawaii at Manoa
Kyungmin Bae,POSTECH
Kyuseok Shim,Seoul National University
L Jean Camp,Indiana University
L. Darrell Whitley,Colorado State University
L. Jean Camp,Indiana University
L. Miguel Silveira,Universidade de Lisboa
L. Ridgway Scott,University of Chicago
L. Sunil Chandran,IISc Bangalore
Laci Babai,University of Chicago
Ladislau Bölöni,University of Central Florida
Ladislav Kavan,University of Utah
Lai-Wan Chan,Chinese University of Hong Kong
Laila Nassef,King Abdulaziz University
Laiwan Chan,Chinese University of Hong Kong
Laks V. S. Lakshmanan,University of British Columbia
Lakshmi Subramanian,New York University
Lakshminarayanan Subramanian,New York University
Lakshmish Ramaswamy,University of Georgia
Lale Akarun,Boğaziçi University
Lale Özkahya,Hacettepe University
Lambros Lambrinos,Cyprus University of Technology
Lamiaa A. Elrefaei,King Abdulaziz University
Lamya Daghestani,King Abdulaziz University
Lan Zhang,USTC
Lance Fortnow,Georgia Institute of Technology
Lance R. Williams,University of New Mexico
Lance Williams,University of New Mexico
Lane A. Hemachandra,University of Rochester
Lane A. Hemaspaandra,University of Rochester
Lane Harrison,Worcester Polytechnic Institute
Lane T. Harrison,Worcester Polytechnic Institute
Lannan Luo,University of South Carolina
Lap Chi Lau,University of Waterloo
Lap-Fai Yu,George Mason University
Larissa A. Meinicke,University of Queensland
Larissa Meinicke,University of Queensland
Larry A. Finkelstein,Northeastern University
Larry Birnbaum,Northwestern University
Larry Carter,University of California - San Diego
Larry Cheng,Oregon State University
Larry F. Hodges,Clemson University
Larry Henschen,Northwestern University
Larry Hill,Rochester Institute of Technology
Larry Holder,Washington State University
Larry Kerschberg,George Mason University
Larry L. Peterson,University of Arizona
Larry S. Davis,University of Maryland - College Park
Larry Smarr,University of California - San Diego
Larry Stillman,Monash University
Larry Wasserman,Carnegie Mellon University
Lars Arge,Aarhus University
Lars Birkedal,Aarhus University
Lars C. Wolf,TU Braunschweig
Lars Christian Wolf,TU Braunschweig
Lars Kulik,University of Melbourne
Lars Ruthotto,Emory University
Lasse Natvig,Norwegian University of Science and Technology
Laszlo Erdös,IST Austria
Lata Narayanan,Concordia University
Latifur Khan,University of Texas at Dallas
Latifur R. Khan,University of Texas at Dallas
Lauge Sørensen,University of Copenhagen
Laura A. Dabbish,Carnegie Mellon University
Laura Bocchi,University of Kent
Laura Dabbish,Carnegie Mellon University
Laura Dietz,University of New Hampshire
Laura Galli,University of Pisa
Laura Hollink,CWI
Laura K. Dillon,Michigan State University
Laura Leal-Taixé,TU Munich
Laura M. Haas,University of Massachusetts Amherst
Laura Pozzi,Università della Svizzera italiana
Laura Ricci,University of Pisa
Laura Semini,University of Pisa
Laura Waller,University of California - Berkeley
Laure Daviaud,Ecole Normale Superieure de Lyon
Laure Gonnord,Ecole Normale Superieure de Lyon
Lauren Wilcox,Georgia Institute of Technology
Laurence Rodrigues do Amaral,UFU
Laurent Charlin,HEC Montreal
Laurent D. Michel,University of Connecticut
Laurent Doyen 0001,Ecole Normale Superieure de Cachan
Laurent El Ghaoui,University of California - Berkeley
Laurent Fribourg,Ecole Normale Superieure de Cachan
Laurent Hébert-Dufresne,University of Vermont
Laurent Itti,University of Southern California
Laurent Kneip,Australian National University
Laurent Lefèvre,Ecole Normale Superieure de Lyon
Laurent Lessard,University of Wisconsin - Madison
Laurent Michel,University of Connecticut
Laurent Thévenoux,Ecole Normale Superieure de Lyon
Laurent Vanbever,ETH Zurich
Lauri Malmi,Aalto University
Lauri Savioja,Aalto University
Laurie A. Williams,North Carolina State University
Laurie J. Hendren,McGill University
Laurie Williams,North Carolina State University
Lav R. Varshney,Univ. of Illinois at Urbana-Champaign
Lavika Goel,BITS Pilani
Lawrence Birnbaum,Northwestern University
Lawrence C. Paulson,University of Cambridge
Lawrence Cavedon,RMIT University
Lawrence Chung,University of Texas at Dallas
Lawrence Hall,University of South Florida
Lawrence J. Cavedon,RMIT University
Lawrence J. Henschen,Northwestern University
Lawrence K. Saul,University of California - San Diego
Lawrence Rauchwerger,Texas A&M University
Laxmi N. Bhuyan,University of California - Riverside
Laxmi Narayan Bhuyan,University of California - Riverside
Laxmikant V. Kalé,Univ. of Illinois at Urbana-Champaign
Laxminarayana S. Pillutla,DAIICT
Layne T. Watson,Virginia Tech
Lazaros F. Merakos,University of Athens
Le Guan,University of Georgia
Le Song,Georgia Institute of Technology
Leah Findlater,University of Washington
Leana Golubchik,University of Southern California
Leandro A. F. Fernandes,UFF
Leandro A. Villas,UNICAMP
Leandro Aparecido Villas,UNICAMP
Leandro Augusto Frata Fernandes,UFF
Leandro Krug Wives,UFRGS
Leandro Marín,University of Murcia
Leandro Villas,UNICAMP
Leandros Tassiulas,Yale University
Lech Szymanski,University of Otago
Lee A. D. Cooper,Emory University
Lee A. Hollaar,University of Utah
Lee D. Coraor,Pennsylvania State University
Lee Gillam,University of Surrey
Lee John Eccleston,University of Edinburgh
Lee-Ad Gottlieb,Ariel University
Leen-Kiat Soh,University of Nebraska
Leendert W. N. van der Torre,University of Luxembourg
Leenkiat Soh,University of Nebraska
Lei Chen 0002,HKUST
Lei Jimmy Ba,University of Toronto
Lei Wang 0031,Shanghai Jiao Tong University
Lei Xie 0006,CUNY
Lei Xu,Shanghai Jiao Tong University
Lei Xu 0001,Chinese University of Hong Kong
Lei Yang,The Hong Kong Polytechnic University
Lei Yang 0001,University of Nevada
Lei Yu 0001,Binghamton University
Lei Zou 0001,Peking University
Leif Kobbelt,RWTH Aachen
Leila Kosseim,Concordia University
Leila Ribeiro,UFRGS
Leila Ribeiro Korff,UFRGS
Leilah Lyons,University of Illinois at Chicago
Leilani Battle,University of Maryland - College Park
Leishi Zhang,Middlesex University
Leizhen Cai,Chinese University of Hong Kong
Leliane N. de Barros,USP
Leliane Nunes de Barros,USP
Len Adleman,University of Southern California
Lena Mashayekhy,University of Delaware
Lenhart K. Schubert,University of Rochester
Lennart E. Nacke,University of Waterloo
Lennart Johnsson,University of Houston
Lennart Nacke,University of Waterloo
Lenore Blum,Carnegie Mellon University
Lenore Cowen,Tufts University
Lenore J. Cowen,Tufts University
Lenwood S. Heath,Virginia Tech
Leo Bachmair,Stony Brook University
Leo Joskowicz,Hebrew University of Jerusalem
Leo Mark,Georgia Institute of Technology
Leon A. Watts,University of Bath
Leon Adam Watts,University of Bath
Leon Derczynski,IT University of Copenhagen
Leon M. Tolbert,University of Tennessee
Leon Reznik,Rochester Institute of Technology
Leon Watts,University of Bath
Leon van der Torre,University of Luxembourg
Leonard J. Schulman,California Institute of Technology
Leonard M. Adleman,University of Southern California
Leonard Manzara,University of Calgary
Leonard Max Adleman,University of Southern California
Leonard McMillan,University of North Carolina
Leonard Pitt,Univ. of Illinois at Urbana-Champaign
Leonardo B. Oliveira,UFMG
Leonardo Barbosa e Oliveira,UFMG
Leonardo Bobadilla,Florida International University
Leonardo G. P. Murta,UFF
Leonardo Gresta Paulino Murta,UFF
Leonardo Murta,UFF
Leonardo R. Emmendorfer,FURG Federal University of Rio Grande
Leonel Augusto Sousa,Universidade de Lisboa
Leonel Sousa,Universidade de Lisboa
Leonid A. Levin,Boston University
Leonid Chindelevitch,Simon Fraser University
Leonid Gurvits,CUNY
Leonid Kontorovich,Ben-Gurion University of the Negev
Leonid Libkin,University of Edinburgh
Leonid Reyzin,Boston University
Leonid Sazanov,IST Austria
Leonid Sigal,University of British Columbia
Leonidas Fegaras,University of Texas at Arlington
Leonidas J. Guibas,Stanford University
Leopoldo E. Bertossi,Carleton University
Leopoldo Teixeira,UFPE
Lerina Aversano,University of Sannio
Les A. Piegl,University of South Florida
Leslie A. Henderson,University of Oxford
Leslie Ann Goldberg,University of Oxford
Leslie G. Valiant,Harvard University
Leslie Gasser,Univ. of Illinois at Urbana-Champaign
Leslie Lander,Binghamton University
Leslie Pack Kaelbling,Massachusetts Institute of Technology
Leszek Antoni Gasieniec,University of Liverpool
Leszek Gasieniec,University of Liverpool
Leszek Pacholski,University of Wroclaw
Letizia Jaccheri,Norwegian University of Science and Technology
Letizia Tanca,Politecnico di Milano
Lev Manovich,CUNY
Lev Reyzin,University of Illinois at Chicago
Levent Burak Kara,Carnegie Mellon University
Levent Yilmaz,Auburn University
Levi H. S. Lelis,Universidade Federal de Viçosa
Levi Lelis,Universidade Federal de Viçosa
Lewis D. Griffin,University College London
Lewis M. Mackenzie,University of Glasgow
Lewis Mackenzie,University of Glasgow
Lexing Xie,Australian National University
Leysia Palen,University of Colorado Boulder
Li Chen 0009,Hong Kong Baptist University
Li Fei-Fei,Stanford University
Li Jiang 0002,Shanghai Jiao Tong University
Li Li,Monash University
Li Li 0029,Monash University
Li Liao,University of Delaware
Li Weigang,Universidade de Brasília
Li Xiao 0001,Michigan State University
Li Xiong 0001,Emory University
Li Zhang,Beihang University
Li-Chen Fu,National Taiwan University
Li-San Wang,University of Pennsylvania
Li-Shiuan Peh,National University of Singapore
Li-Yan Yuan,University of Alberta
Li-Yang Tan,Stanford University
Liam Paull,University of Montreal
Liam Peyton,University of Ottawa
Liam Roditty,Bar-Ilan University
Liang Cheng 0001,Lehigh University
Liang Huang 0001,Oregon State University
Liang Lan,Hong Kong Baptist University
Liang Wang 0001,Chinese Academy of Sciences
Liang-Tien Chia,Nanyang Technological University
Liangcai Gao,Peking University
Licia Capra,University College London
Licia Sbattella,Politecnico di Milano
Lidan Shou,Zhejiang University
Lifeng Sun,Tsinghua University
Lifu Wang,Peking University
Lihao Xu,Wayne State University
Lihi Zelnik-Manor,Technion
Lihua Yue,USTC
Lijie Wen,Tsinghua University
Lijun Chang,UNSW
Lijun Chen,University of Colorado Boulder
Lijun Chen 0002,Peking University
Lijun Yin,Binghamton University
Lila Kari,University of Waterloo
Lila Santean,University of Waterloo
Lili Qiu,University of Texas at Austin
Lillian Lee,Cornell University
Limin Xiao,Beihang University
Liming Cai,University of Georgia
Limsoon Wong,National University of Singapore
Lin Feng,Nanyang Technological University
Lin Liu 0001,Tsinghua University
Lin Padgham,RMIT University
Lin Qiao,Tsinghua University
Lin Tan,University of Waterloo
Lin Zhong,Rice University
Lin Zhong 0001,Rice University
Lin-shan Lee,National Taiwan University
Lina Yao,UNSW
Linda G. Shapiro,University of Washington
Linda Jean Camp,Indiana University
Linda Pagli,University of Pisa
Linda Petzold,University of California - Santa Barbara
Linda R. Petzold,University of California - Santa Barbara
Linda Weiser Friedman,CUNY
Lindsay Groves,Victoria University of Wellington
Lindsey Kuper,University of California - Santa Cruz
Ling Chen 0001,Zhejiang University
Ling Feng,Tsinghua University
Ling Liu 0001,Georgia Institute of Technology
Ling-Qi Yan,University of California - Santa Barbara
Ling-Yu Duan,Peking University
Linghe Kong,Shanghai Jiao Tong University
Lingjia Liu,University of Kansas
Lingjia Tang,University of Michigan
Lingkan Gong,UNSW
Lingming Zhang,University of Texas at Dallas
Lingxiao Jiang,Singapore Management University
Lingyu Duan,Peking University
Lingyun Sun,Zhejiang University
Linh Anh Nguyen,University of Warsaw
Linh T. X. Phan,University of Pennsylvania
Linh Thi Xuan Phan,University of Pennsylvania
Linhai Song,Pennsylvania State University
Lining Yao,Carnegie Mellon University
Linmi Tao,Tsinghua University
Linpeng Huang,Shanghai Jiao Tong University
Linwei Wang,Rochester Institute of Technology
Linzhang Wang,Nanjing University
Lionel C. Briand,University of Luxembourg
Lionel M. Ni,HKUST
Lionel Ming-shuan Ni,HKUST
Lionel Morel,Ecole Normale Superieure de Lyon
Lionel Robert Morel,Ecole Normale Superieure de Lyon
Lior Pachter,University of California - Berkeley
Liping Shen,Shanghai Jiao Tong University
Lipyeow Lim,University of Hawaii at Manoa
Liqiang Wang,University of Central Florida
Liqing Zhang,Virginia Tech
Liqiong Tang,Massey University
Liqun Chen,University of Surrey
Lirong Xia,Rensselaer Polytechnic Institute
Lisa Anthony,University of Florida
Lisa Hellerstein,New York University
Lisa Singh,Georgetown University
Lisandro Zambenedetti Granville,UFRGS
Lise Getoor,University of California - Santa Cruz
Lisong Xu,University of Nebraska
Liting Hu,Florida International University
Liuba Shrira,Brandeis University
Liusheng Huang,USTC
Liwei Wang 0001,Peking University
Lixia Zhang,University of California - Los Angeles
Lixin Duan,UESTC
Liyong Tang,Peking University
Liz Sonenberg,University of Melbourne
Lizhong Chen,Oregon State University
Lizhuang Ma,Shanghai Jiao Tong University
Llorenç Cerdà,Polytechnic University of Catalonia
Llorenç Cerdà-Alabern,Polytechnic University of Catalonia
Lloyd W. Massengill,Vanderbilt University
Lluís Màrquez,Qatar Computing Research Institute
Lluís Màrquez i Villodre,Qatar Computing Research Institute
Loai Alnemer,University of Jordan
Loana Tito Nogueira,UFF
Loay Sabry-Ismaïl,Qatar University
Lodewyk F. A. Wessels,TU Delft
Loek Cleophas,TU Eindhoven
Loek G. Cleophas,TU Eindhoven
Lois Wright Hawkes,Florida State University
Long Cheng,Clemson University
Long Lu,Northeastern University
Long Quan,HKUST
Long-Wen Chang,National Tsing Hua University
Longbo Huang,Tsinghua University
Longbu Huang,Tsinghua University
Longin Jan Latecki,Temple University
Lonnie R. Welch,Ohio University
Lora Aroyo,VU Amsterdam
Lora Oehlberg,University of Calgary
Loren G. Terveen,University of Minnesota
Loren Gilbert Terveen,University of Minnesota
Loren Schwiebert,Wayne State University
Lorenz Hilty,University of Zurich
Lorenzo Alvisi,Cornell University
Lorenzo Clemente,University of Warsaw
Lorenzo Orecchia,Boston University
Lorenzo Torresani,Dartmouth College
Lori L. Pollock,University of Delaware
Lorie Loeb,Dartmouth College
Loris D'Antoni,University of Wisconsin - Madison
Loris Marchal,Ecole Normale Superieure de Lyon
Lorna K. Stewart,University of Alberta
Lorna MacDonald,University of Queensland
Lorna Stewart,University of Alberta
Lorrie Faith Cranor,Carnegie Mellon University
Lothar Thiele,ETH Zurich
Lotus Goldberg,Brandeis University
Louay Bazzi,American University of Beirut
Louay M. J. Bazzi,American University of Beirut
Louis D'Alotto,CUNY
Louis D. Nel,Carleton University
Louis I. Steinberg,Rutgers University
Louis Petingi,CUNY
Louis Salvail,University of Montreal
Louis-Philippe Morency,Carnegie Mellon University
Lourdes Agapito,University College London
Lourdes de Agapito,University College London
Loïc Cerf,UFMG
Loïc Denis,Université Jean Monnet
Lu Feng,University of Virginia
Lu Ruan,Iowa State University
Lu Su,University at Buffalo
Lu Wang,Northeastern University
Lu Zhang 0023,Peking University
Luay Nakhleh,Rice University
Lubomir Bic,University of California - Irvine
Lubomir F. Bic,University of California - Irvine
Lubomír Popelínský,Masaryk University
Lubos Brim,Masaryk University
Lubos Popelínský,Masaryk University
Luc Berthouze,University of Sussex
Luc De Raedt,KU Leuven
Luc Devroye,McGill University
Luc J. Van Gool,ETH Zurich
Luc Segoufin,Ecole Normale Superieure de Cachan
Luc Van Gool,ETH Zurich
Luca Allodi,TU Eindhoven
Luca Barletta,Politecnico di Milano
Luca Benini,ETH Zurich
Luca Daniel,Massachusetts Institute of Technology
Luca Gemignani,University of Pisa
Luca Mottola,Politecnico di Milano
Luca O. Breviglieri,Politecnico di Milano
Luca P. Carloni,Columbia University
Luca Trevisan,University of California - Berkeley
Luca de Alfaro,University of California - Santa Cruz
Lucas Mello Schnorr,UFRGS
Lucia Moura,University of Ottawa
Lucian Ilie,Western University
Luciana P. Nedel,UFRGS
Luciana Porcher Nedel,UFRGS
Luciana S. Buriol,UFRGS
Luciana Salete Buriol,UFRGS
Luciano Barbosa,UFPE
Luciano Baresi,Politecnico di Milano
Luciano García-Bañuelos,University of Tartu
Luciano Paschoal Gaspary,UFRGS
Lucinéia Heloisa Thom,UFRGS
Lucinéia Thom,UFRGS
Lucio Mauro Duarte,UFRGS
Ludek Matyska,Masaryk University
Lui Sha,Univ. of Illinois at Urbana-Champaign
Luidi Gelabert Simonetti,UFRJ
Luidi Simonetti,UFRJ
Luigi Benedicenti,University of New Brunswick
Luigi Carro,UFRGS
Luigi Cerulo,University of Sannio
Luigi Troiano,University of Sannio
Luis A. F. M. Ferreira,Universidade de Lisboa
Luis Antonio Brasil Kowada,UFF
Luis Ceze,University of Washington
